FIPS_code,state,county,release,prem_death,pf_health,poor_phys,poor_ment,low_bwt,smoking,obesity,food_env,drinking,sti_rate,unins,pcp_rate,mammog,hsgrad,unemp,inc_ineq,social,med_inc,sev_hous,commute,popn,age65up,nh_white,non_eng,female,rural
C-01001,AL,Autauga County,2015,84.05,22.8,5.1,3.6,9.1,21.7,31.3,7.2,16.7,508,12.8,3084,69,81,6,4.17,13.15,51.9,12.3,42,55246,13.5,75.9,0.5,51.5,42
C-01003,AL,Baldwin County,2015,74.57,12.7,3.3,3.8,8.7,20.6,25,7.6,17.9,357.5,15.8,1325,66,74,6,4.42,11.64,47.5,14.1,34.9,195540,18.1,83.1,1.6,51.2,42.3
C-01005,AL,Barbour County,2015,89.01,23.4,4.8,4.3,11.9,25.1,38.4,5,13.5,716.9,17.5,2267,62,70,10,5.47,8.46,31,18.6,33.1,27076,15.9,46.3,2.2,46.5,67.8
C-01007,AL,Bibb County,2015,107.29,17.9,4.7,5.1,12.8,25.9,37.3,7.6,11.2,371.7,15.1,3766,62,80,7,4.51,10.62,39.8,9.6,47.5,22512,14.3,74.6,0.4,46,68.4
C-01009,AL,Blount County,2015,86.69,24.2,5.9,3.9,7.7,21.3,30.9,8.5,5.5,160.8,18.3,3402,60,85,6,3.98,8.65,44.4,11.8,58.4,57872,16.4,87.8,2.3,50.6,90
C-01011,AL,Bullock County,2015,107.44,23,4.2,,13.6,37.8,43.2,3.8,,964.3,17.6,2619,52,73,12,5.26,11.46,25.9,13.4,46.8,10639,14.6,22.2,3.7,45.2,51.4
C-01013,AL,Butler County,2015,103.57,19.9,3.9,3.5,10.8,30.5,38.4,6,10.9,738.7,16.6,2901,60,66,9,5.1,11.82,31,17.8,32.9,20265,17.7,53.5,0.2,53.4,71.2
C-01015,AL,Calhoun County,2015,105.39,22.7,5.2,5.1,8.7,24.4,31.5,6.4,11.6,684.6,15.3,1564,57,82,7,5.16,14.75,37.9,14.5,28,116736,15.5,73.1,0.8,51.7,33.7
C-01017,AL,Chambers County,2015,118.64,38.5,5,4.3,11.9,24.1,39.7,5.7,,871.9,16,2433,62,76,7,5.28,18.49,33.9,17.1,34.3,34162,17.8,57.4,0.3,52,49.1
C-01019,AL,Cherokee County,2015,105.13,24.2,6.1,5.2,8.9,24.4,30.3,7.9,14.9,192.2,16.7,3717,61,74,6,5.1,9.22,37.5,11.6,42.9,26203,20.1,91.8,0.1,50.4,85.7
C-01021,AL,Chilton County,2015,109.11,20.5,4.6,4.9,9.8,20.1,37,7.9,9.3,353.7,19.2,5477,67,76,6,4.54,15.06,41.3,16.9,47.2,43951,14.9,80.7,2.1,50.8,86.7
C-01023,AL,Choctaw County,2015,134.12,31.6,5.6,4.6,11.1,19.9,40.2,5.9,,550.1,16.1,2727,57,78,8,5.73,19.07,33.6,13.5,42.7,13426,20.3,55.8,0,52.5,100
C-01025,AL,Clarke County,2015,107.09,21.8,4.4,3,12.6,13.7,35.2,5.1,8.8,890.3,17,2097,59,73,11,7.18,17.88,34.6,15.2,32.5,25207,17.5,53.2,0.1,52.7,76
C-01027,AL,Clay County,2015,89.59,28.6,6,5.3,11.4,26.2,37.4,7.3,,454,18.8,2687,59,78,8,5.06,8.93,33.3,14.7,40.1,13486,19,80,1.1,50.8,100
C-01029,AL,Cleburne County,2015,104.38,20,5.9,5.2,8.8,18.9,30.4,8.1,,384.3,16,4944,46,89,6,5.24,8.76,40.4,14.4,47.4,14994,18,92.6,0.6,50.4,100
C-01031,AL,Coffee County,2015,80.15,18.4,3.5,3.6,8.6,17.7,28.5,7.1,9.8,640,16,2228,65,85,6,5.28,15.8,44.7,12.1,24.3,50938,15.6,71.5,2.3,50.3,47.2
C-01033,AL,Colbert County,2015,106.57,25.9,4.4,4.8,10,29.6,33.9,7.2,7.4,683.2,14.3,1815,67,78,7,4.77,18,40,14,26,54520,18.1,78.8,0.7,51.9,43.9
C-01035,AL,Conecuh County,2015,133.62,18.3,4.4,5.2,13.7,22.9,39.1,4.6,,808.9,18.2,2596,61,83,10,5.72,11.56,27.2,20.6,42.6,12887,19.7,51.2,0.5,51.7,80.9
C-01037,AL,Coosa County,2015,121.6,25.8,4,4.6,12.1,30,37.2,6.8,,474.2,16.7,,64,78,8,5,10.94,35.2,15.9,43.9,10898,18.2,65.3,0.6,50.2,100
C-01039,AL,Covington County,2015,96.67,25,4.2,5.2,9.4,28.7,32.3,7.3,10.9,503.2,17.3,2109,65,81,7,4.56,12.38,35.2,16.4,24.1,37886,19.6,83.4,0.6,51.6,69.7
C-01041,AL,Crenshaw County,2015,91.03,20.3,4,3.8,9,16.6,37.1,5.9,,468.7,16.4,7041,61,93,6,5.66,11.36,34.1,11.7,47.2,13986,17.5,70.4,1.2,51.5,100
C-01043,AL,Cullman County,2015,89.67,21.4,3.9,4.4,9.2,22,34.4,7.8,10.9,317,18.1,1788,66,83,5,4.83,12.68,40.1,14,34.2,80811,17.2,92.2,1.3,50.4,73.2
C-01045,AL,Dale County,2015,85.71,21.2,4.9,3.9,8.6,21.2,34.4,6.4,14.4,547.1,14.7,5605,66,77,7,5.05,12.29,41.8,11.4,25.8,49884,14.9,70.8,1.3,50.5,50.9
C-01047,AL,Dallas County,2015,123.49,25.2,3.9,3.6,12.8,20.6,41.7,3.6,12,1525.8,14.5,1299,63,72,13,6.54,13.53,27.5,23.5,21.1,41996,15.3,28.5,0.2,53.5,45.6
C-01049,AL,DeKalb County,2015,94.13,20.4,4.7,4.9,8.6,18,32.1,7.8,10.1,298.3,21.7,2451,56,84,7,4.39,9.43,36.7,14.4,28.8,71013,15.2,80.7,4,50.7,90.1
C-01051,AL,Elmore County,2015,81.98,16.7,4.4,4.4,9,21.4,30.1,7.4,10.3,548.2,13.2,3360,66,74,6,4.04,10.05,51.7,12.4,44.8,80902,13.4,73.9,1,51.4,54.2
C-01053,AL,Escambia County,2015,111.12,28.1,5.2,4.7,10.9,20.9,38.3,6.1,7.7,552.7,19.6,2111,60,77,8,5.48,15,33.5,14.3,29.7,37983,16.2,60.7,0.2,48.5,63.5
C-01055,AL,Etowah County,2015,110.57,22.7,5.2,5,8.5,26,33.8,6.8,10.7,705,16.7,1321,58,77,7,4.67,15.81,38.6,14.5,27,103931,16.8,78.5,1.3,51.5,37.5
C-01057,AL,Fayette County,2015,116.27,31.8,5.6,5.2,10,14.1,36.3,7.6,,494.6,15.4,2426,61,78,7,5.2,11.78,35.7,10.4,31.6,16909,19,85.1,0.1,50.4,80.2
C-01059,AL,Franklin County,2015,117.61,24,5,4.4,8.8,24.5,33.5,7.5,,358.9,20.1,2117,55,86,8,4.72,10.08,33.3,15,33.3,31532,15.9,78.7,6,50.1,70.4
C-01061,AL,Geneva County,2015,90.86,28.3,4.3,3.4,9.1,32.5,34.5,7.7,12.6,453,19,4488,62,83,7,4.84,8.91,35.4,14.4,42.7,26727,18.6,84.3,1.1,51,89.6
C-01063,AL,Greene County,2015,119.68,27.1,5.1,5.3,16,18.1,48.1,2.9,,1295.6,16,2959,60,63,10,4.69,9.01,25.9,18.6,48.8,8744,17.2,18.2,0.1,52.3,100
C-01065,AL,Hale County,2015,100.98,21.1,3.9,4.1,14.1,,36.2,6.1,,1429.7,16.1,7694,54,71,10,5.4,5.2,33.6,18,40.4,15406,16.9,40.2,0.4,52.5,89.2
C-01067,AL,Henry County,2015,104.62,18.4,4,3.5,8.6,17,34.1,7.6,,566.9,16.7,3457,53,70,7,5.54,17.35,41.6,12.8,33.7,17296,20.1,68.2,1.1,51.8,87.8
C-01069,AL,Houston County,2015,81.28,20.7,4.5,4.3,8.8,18.4,32.9,6.7,13.3,783.4,16.4,1112,63,87,6,5.01,13.15,39.6,12.9,26,103668,15.6,67.7,0.8,52,33.8
C-01071,AL,Jackson County,2015,112.73,28,5.8,5.3,8.6,22.1,29,7.7,8.4,216.9,17.1,1710,52,83,6,4.64,9.24,37.2,11.9,36.4,52951,18.1,89.8,0.5,50.7,77
