id,length,choice
1,1.24,Invertebrates
2,1.3,Invertebrates
3,1.3,Invertebrates
4,1.32,Fish
5,1.32,Fish
6,1.4,Fish
7,1.42,Invertebrates
8,1.42,Fish
9,1.45,Invertebrates
10,1.45,Other
11,1.47,Invertebrates
12,1.47,Fish
13,1.5,Invertebrates
14,1.52,Invertebrates
15,1.55,Invertebrates
16,1.6,Invertebrates
17,1.63,Invertebrates
18,1.65,Other
19,1.65,Invertebrates
20,1.65,Fish
21,1.65,Fish
22,1.68,Fish
23,1.7,Invertebrates
24,1.73,Other
25,1.78,Invertebrates
26,1.78,Invertebrates
27,1.78,Other
28,1.8,Invertebrates
29,1.8,Fish
30,1.85,Fish
31,1.88,Invertebrates
32,1.93,Invertebrates
33,1.98,Invertebrates
34,2.03,Fish
35,2.03,Fish
36,2.16,Fish
37,2.26,Fish
38,2.31,Fish
39,2.31,Fish
40,2.36,Fish
41,2.36,Fish
42,2.39,Fish
43,2.41,Fish
44,2.44,Fish
45,2.46,Fish
46,2.56,Other
47,2.67,Fish
48,2.72,Invertebrates
49,2.79,Fish
50,2.84,Fish
51,3.25,Other
52,3.28,Other
53,3.33,Fish
54,3.56,Fish
55,3.58,Fish
56,3.66,Fish
57,3.68,Other
58,3.71,Fish
59,3.89,Fish
