id,food,size,sex,lake
1,fish,<2.3,m,hancock
2,fish,<2.3,m,hancock
3,fish,<2.3,m,hancock
4,fish,<2.3,m,hancock
5,fish,<2.3,m,hancock
6,fish,<2.3,m,hancock
7,fish,<2.3,m,hancock
8,invert,<2.3,m,hancock
9,other,<2.3,m,hancock
10,other,<2.3,m,hancock
11,other,<2.3,m,hancock
12,other,<2.3,m,hancock
13,other,<2.3,m,hancock
14,fish,>=2.3,m,hancock
15,fish,>=2.3,m,hancock
16,fish,>=2.3,m,hancock
17,fish,>=2.3,m,hancock
18,bird,>=2.3,m,hancock
19,other,>=2.3,m,hancock
20,other,>=2.3,m,hancock
21,fish,<2.3,f,hancock
22,fish,<2.3,f,hancock
23,fish,<2.3,f,hancock
24,fish,<2.3,f,hancock
25,fish,<2.3,f,hancock
26,fish,<2.3,f,hancock
27,fish,<2.3,f,hancock
28,fish,<2.3,f,hancock
29,fish,<2.3,f,hancock
30,fish,<2.3,f,hancock
31,fish,<2.3,f,hancock
32,fish,<2.3,f,hancock
33,fish,<2.3,f,hancock
34,fish,<2.3,f,hancock
35,fish,<2.3,f,hancock
36,fish,<2.3,f,hancock
37,invert,<2.3,f,hancock
38,invert,<2.3,f,hancock
39,invert,<2.3,f,hancock
40,rep,<2.3,f,hancock
41,rep,<2.3,f,hancock
42,bird,<2.3,f,hancock
43,bird,<2.3,f,hancock
44,other,<2.3,f,hancock
45,other,<2.3,f,hancock
46,other,<2.3,f,hancock
47,fish,>=2.3,f,hancock
48,fish,>=2.3,f,hancock
49,fish,>=2.3,f,hancock
50,rep,>=2.3,f,hancock
51,bird,>=2.3,f,hancock
52,bird,>=2.3,f,hancock
53,other,>=2.3,f,hancock
54,other,>=2.3,f,hancock
55,other,>=2.3,f,hancock
56,fish,<2.3,m,oklawaha
57,fish,<2.3,m,oklawaha
58,invert,<2.3,m,oklawaha
59,invert,<2.3,m,oklawaha
60,other,<2.3,m,oklawaha
61,fish,>=2.3,m,oklawaha
62,fish,>=2.3,m,oklawaha
63,fish,>=2.3,m,oklawaha
64,fish,>=2.3,m,oklawaha
65,fish,>=2.3,m,oklawaha
66,fish,>=2.3,m,oklawaha
67,fish,>=2.3,m,oklawaha
68,fish,>=2.3,m,oklawaha
69,fish,>=2.3,m,oklawaha
70,fish,>=2.3,m,oklawaha
71,fish,>=2.3,m,oklawaha
72,fish,>=2.3,m,oklawaha
73,fish,>=2.3,m,oklawaha
