fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age-adj-mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,health_costs,median_income,population,age65plus,african-am,hispanic,white,female,rural
39001,Ohio,Adams,10304,21.86,4.83,4.46,9.55,23.43,31.1,7,27.8,52.2,15.42,26.09,227.7,52.46,12.67,2813,120.23,93.3,7.93,29.3,5.389,8.89,10.5,No,16,80,497.5,11.4,14.3,14,18.1,35.6,12341.9,36609,28024,16.87,0.55,0.91,96.48,50.55,89.03
39003,Ohio,Allen,7142,17.15,4.04,3.98,8.28,19.79,35.4,6.9,30.9,80,16.19,30.95,567,42.56,10.02,1266,67.08,82.1,4.84,23.4,4.585,15.99,11.4,Yes,15.19,86.61,391.8,13,12.1,12.4,16.5,35.4,10116.09,49297,104425,16.33,12.27,2.86,81.23,49.66,25.89
39005,Ohio,Ashland,6093,16.3,3.78,3.98,6.61,19.93,27.9,7.9,30.7,64.65,17.15,29.73,248.9,22.38,12.32,2121,50.87,87.9,5.09,20.1,3.737,19.23,11.4,Yes,13.86,84.9,322.2,11.6,11.4,12.1,14.2,35.4,8274.48,48338,53213,17.72,0.89,1.2,95.93,51.05,61.94
39007,Ohio,Ashtabula,9292,17.73,4.24,4.32,8.01,21.7,33.5,6.9,25.6,63.14,14.79,45.24,281.5,40.11,11.32,2755,79.26,87.7,5.98,28.6,4.513,11.9,10.6,Yes,16.23,83.41,454.1,13.3,12.8,13,15.7,38.9,11231.82,44258,98632,17.74,3.51,4.07,89.84,49.63,46.37
39009,Ohio,Athens,7853,21.45,4.69,4.72,8.02,23.34,28.3,5.3,24.2,85,19.43,28.21,664.8,12.79,11.11,1198,63.86,91.7,6.17,29.1,7.238,10.35,10.7,No,22.97,69.66,417.5,11.1,14.7,14.6,19.8,35.3,10117.22,38400,65886,11.47,2.68,1.91,89.65,50.1,43.17
39011,Ohio,Auglaize,5587,13.11,3.4,3.63,6.68,16.62,34.7,8.4,28.2,67.09,18.03,31.58,211.2,30.44,8.01,2183,55.6,93.8,3.67,11.5,3.763,15.05,11.7,No,10.36,87.38,306,11.1,10.3,11.1,11.8,35.7,9143.94,58840,45876,17.36,0.55,1.53,96.13,50.28,39.14
39013,Ohio,Belmont,7935,17.2,4.03,4.01,8.33,21,33.5,7.4,30.9,52.91,17.95,31.91,263,37.95,10.1,2171,90.29,89.4,6.33,21.1,4.512,16.27,11.2,Yes,8.05,86.25,407.7,15.1,11.6,12,14.8,35.6,10628.95,45675,69154,19.29,4.14,0.94,92.95,48.9,54.66
39015,Ohio,Brown,10157,16.6,4.02,4.07,7.49,21.28,33.7,7.5,28,35.79,16.53,28,244,39.1,10.69,3676,62.88,90.5,6.18,23.6,3.964,6.35,11,No,12.82,82.73,487.6,13.6,11.9,12.3,14.3,35.7,10716.26,47202,43839,17.3,0.89,0.89,96.56,50.24,76.56
39017,Ohio,Butler,7737,15.75,3.79,4,8.02,18.62,32.8,7.4,25.1,90.77,19.25,38.21,353.1,28.78,9.92,1899,61.62,86.2,4.57,18.3,4.512,8.42,13,Yes,15.45,84.79,393.3,12,11.2,11.8,14,37.8,10709.24,58954,376353,13.56,8.03,4.48,82.28,50.99,9.34
39019,Ohio,Carroll,7754,15.47,3.68,3.95,8.21,19.03,34.7,7.9,23.9,59.87,15.41,22.22,261.7,29.81,11.2,4698,58.37,93.3,5.92,20,3.796,15.26,11.6,No,14.45,82.53,372.4,12.7,11.4,12.1,13.7,34,9474.21,52166,27811,19.78,0.65,1.27,96.29,49.84,70.95
39021,Ohio,Champaign,7325,14.1,3.6,3.89,7.34,18.02,37,8.2,24.8,58.69,17.2,20.83,273.7,32.61,10.15,4348,57.2,89.8,4.37,16.2,3.854,13.29,11.5,Yes,10.06,86.45,399.1,13.2,10.8,11.6,13.2,37.7,10047.9,58837,38987,17.02,2.25,1.69,93.25,50.01,70.82
39023,Ohio,Clark,9478,17.26,4.16,4.04,8.39,19.51,31.5,6.8,26.1,83.21,15.67,42.35,448.7,48.69,10.83,2038,54.53,84.1,5,25.1,4.552,12.23,11.5,Yes,15.07,82.37,474.8,12.9,12.5,12.7,16.3,36.8,10515.14,47651,135959,18.33,8.84,3.2,84.31,51.53,23.61
39025,Ohio,Clermont,7913,14.53,3.84,3.84,7.28,18.58,30.3,7.4,25.2,77.93,18.89,31.78,241.7,30.93,9.12,1419,56.35,94,4.48,13.5,4.351,7.24,11.7,Yes,11.05,85.88,372.8,11.7,10.8,11.3,12.3,36.2,10381.53,62214,201973,14.55,1.47,1.78,93.98,50.71,22.72
39027,Ohio,Clinton,9136,15.84,3.79,4.01,7.77,19.54,34.3,7.2,32.5,66.59,17.43,33.33,314.7,39.21,9.66,1350,65.61,88.5,6.13,21.1,4.257,11.47,11.2,Yes,15.53,84.94,447.5,11.7,11.4,12.1,16.3,36.3,10043.6,47055,41917,15.58,2.3,1.78,93.17,50.56,54.64
39029,Ohio,Columbiana,8266,17.04,3.8,4.06,7.93,20.23,33,7.2,26.5,71.59,16.58,35.82,244.6,37.83,10.79,1854,79.92,85.8,5.87,22.3,4.145,15.71,12,Yes,12.71,85.21,406.5,12.5,11.6,12.2,15,36.8,10797.6,42301,104806,18.66,2.36,1.59,94.2,49.53,43.86
39031,Ohio,Coshocton,8716,17.26,4.14,4.15,7.05,19.95,34.3,7.1,26.5,61.39,15.92,38.71,223.1,35.14,12.3,2434,87.92,90.9,6.27,23.4,4.023,14.51,11.4,No,12.21,80.87,406.6,14.6,12.5,12.7,15.5,35.5,10061.39,41643,36569,18.11,1.23,0.95,96.04,50.44,61.47
39033,Ohio,Crawford,7972,15.14,3.88,3.95,7.53,19.46,32,7.6,26,70.67,15.11,17.86,455.5,42.69,10.67,3268,61.88,90.6,5.79,24.4,4.055,18.83,11.3,No,12.6,83.63,429.2,13.3,12,12.4,15.1,33.8,10214.43,41471,42306,19.72,1.03,1.55,95.66,51.2,35.26
39035,Ohio,Cuyahoga,7828,17.08,3.77,4,10.49,18.7,30,6.5,24.2,95.55,18.07,45.45,718.2,35.46,9.99,886,57.63,74.8,5,26.2,5.629,9.2,12.9,No,18.83,80.23,387.7,12,11.8,12.5,19.4,37.6,10023.93,45506,1255921,16.79,29.55,5.56,59.84,52.41,0.58
39037,Ohio,Darke,7462,14.8,3.65,3.88,6.23,18.2,32.3,7.9,29.1,48.42,16.47,32.65,198.6,33.08,10.13,1933,59.67,94.7,4.25,15.2,3.92,17.43,11.7,No,12.8,83.59,364.2,12.8,11.2,11.9,13.7,35.1,9504.81,51131,52076,18.77,0.61,1.46,96.28,50.79,66.3
39039,Ohio,Defiance,6663,15.88,3.84,3.87,5.9,19.28,32.9,7.8,28.7,57.17,16.89,39.29,298.5,34.4,9.89,1674,82.31,95,4.92,16.2,3.607,17.92,11.2,Yes,11.9,87.33,335.5,11.6,11.4,11.8,12.3,34.3,9548.98,53936,38352,17.24,1.81,9.83,86.53,50.5,43.85
39041,Ohio,Delaware,4129,10.31,2.65,3.16,6.55,13.82,28.1,8.9,17.9,89.45,20.44,27.69,189.8,10.85,5.34,753,40.34,95.8,3.49,4.7,3.939,8.94,11.9,Yes,10.86,85.9,210.7,9.2,8.5,9.6,9,32.3,9350.07,97679,193013,11.99,3.39,2.43,86.51,50.44,19.31
39043,Ohio,Erie,8662,15.71,3.73,3.88,8.3,18.99,35.4,7,27.8,80.04,16.9,27.91,480,33.3,9.2,1354,64.71,79.2,5.63,22.3,4.087,14.9,10.9,Yes,13.65,83.42,398.3,11.1,11.1,11.8,15,34.5,10274.45,48129,75550,20.29,8.63,4.18,83.67,51.23,26.48
