fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age-adj-mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,median_income,population,age65plus,african-am,hispanic,white,female,rural
39001,Ohio,Adams,12223,22.3,4.94,4.83,9.05,24.28,32.2,7.1,36.6,41.7,16.06,37.5,216.4,40.03,9.06,2310,75.09,92.22,7.07,29.1,5.619,8.3,10.4,No,16,79,563.5,16.1,15.1,15.7,17.2,39.2,42154,27724,17.9,0.46,1.04,96.23,0.504039821,0.890262697
39003,Ohio,Allen,9037,16.5,4.12,4.4,9.35,20.18,34,7.5,27.5,75.8,16.74,31.48,587.2,30.49,7.7,1518,63.8,84.93,4.49,18.7,4.492,16.38,12.2,No,14,86,418.5,13.2,12.5,13.6,15,37.6,50301,102663,17.6,12.36,3.16,80.71,0.495563153,0.258908503
39005,Ohio,Ashland,7483,16.79,4.09,4.47,5.96,18.84,33.3,8.2,32.6,60,19.03,33.33,257.3,20.63,8.24,2063,49.98,94.06,4.58,12.6,3.688,19.02,11.3,No,14,84,372.1,10.8,12.3,13.6,12.9,36.2,54362,53745,18.7,0.8,1.48,95.47,0.507563494,0.6193756
39007,Ohio,Ashtabula,10013,16.77,4.18,4.57,8.16,21.28,37.6,6.9,33.7,73.1,16.98,39.02,305.7,32.54,8.3,2794,66.81,87.99,5.27,24,4.756,12.27,11,Yes,15,85,473,13.8,12.8,14.4,15.2,39.9,46950,97493,19.1,3.49,4.32,89.32,0.495953556,0.463688582
39009,Ohio,Athens,7014,20.62,4.66,4.92,8.55,20.03,33.4,5.8,26.7,83,20.13,21.62,800.3,8.8,9.32,1332,35.44,91.82,5.77,26.8,7.028,9.16,10.5,Yes,22,72,369.3,12.2,14.7,15.8,19.3,38.5,40416,65818,13.2,2.78,1.94,89.31,0.502142271,0.431706225
39011,Ohio,Auglaize,6454,14.57,3.73,4.27,7.32,17.45,38.3,8.6,31.1,77.7,18.5,16.67,233.7,23.53,5.66,2543,48.43,96.98,3.3,8.2,3.848,15.07,12.4,No,11,88,312.7,11.2,11,12.8,10.4,34.5,63754,45804,18.4,0.59,1.77,95.8,0.500371147,0.391368691
39013,Ohio,Belmont,8289,18.02,3.87,4.46,8.34,17.49,35,7.7,31.9,47.4,18.11,20,292.5,30.53,6.55,2721,84.58,89.49,5.47,17.7,4.653,15.73,11.2,No,9,89,414.3,13.3,11.7,13.6,13.9,39.5,48989,67505,20.8,4.2,1.01,92.63,0.48882305,0.546647727
39015,Ohio,Brown,10748,17.29,4.19,4.58,7.39,20.59,34,7.7,34.7,49.9,18.53,24.14,286.9,32.18,7.57,3631,59.42,93.6,5.36,18.4,4.255,5.74,11,No,12,82,527.2,13.5,12.7,14.1,14.2,38.5,55334,43602,18,0.91,1.14,96.27,0.504242925,0.765597824
39017,Ohio,Butler,9429,16.47,4,4.14,7.99,18.24,32.3,7.7,24.1,84.2,20.44,30.99,389.4,19.02,6.88,1848,57.64,90.45,4.13,15.4,4.566,8.41,13,No,14,85,421.8,11.2,11.6,12.7,12.8,38.1,61053,382378,14.7,8.52,4.86,80.5,0.50944092,0.093428952
39019,Ohio,Carroll,8073,16.21,4.08,4.39,7.61,18.37,38.6,8.1,31.6,30.9,16.72,15,248.3,24.19,7.78,5477,43.96,91.25,5.26,17.3,4.021,13.88,11.3,No,11,83,387.3,14.1,12.2,13.5,12.9,35.8,50002,27081,21.1,0.64,1.35,96.01,0.499390717,0.709529755
