fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age_adj_mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,median_income,population,age65plus,african_am,hispanic,white,female,rural
39001,Ohio,Adams,11037,25.5,5.41,6.1,9.3,30.2,40,6,36.3,22.8,16.9,40.7,241.9,38.3,9.6,2308,5753,82.5,9.2,28.7,5.2,7.2,8.6,No,16.5,80.6,567.7,12.5,17.4,20.5,19,43.7,42342,27531,18.7,0.5,1.1,96.1,50.4,89
39003,Ohio,Allen,8518,20.1,4.53,5.35,9.7,22.8,39.3,7.9,34,73.5,17.3,37.5,638,27.3,7.6,1462,5078,90.6,8.5,17.9,4.3,16.4,8.1,No,12.6,84.9,432.8,11.7,13.9,17.4,13.3,41.9,52558,101980,18.5,12.4,3.5,80.1,49.5,25.9
39005,Ohio,Ashland,7769,19.9,4.49,5.44,6,23.6,34.1,8,30.8,54,19.5,35.9,205.7,16.9,10.7,2325,4681,90.1,6.5,15.6,3.7,18.7,8.9,No,12.2,82.3,378.3,10.1,14.1,17.9,13.6,39,55699,53362,19.7,0.8,1.6,95.3,50.9,61.9
39007,Ohio,Ashtabula,9749,24.7,5.07,5.73,8,27,43,6.7,35.2,63.3,18.2,32.5,379.5,28.2,9.8,3353,5467,86.1,8.3,23.6,4.6,12.5,8.8,Yes,15.3,84.4,477.2,12.1,16.5,19.6,16.3,43.2,51252,96513,20.2,3.3,4.6,89.1,49.7,46.4
39009,Ohio,Athens,7619,22.4,5.02,5.71,8.3,25,34.3,6,31.6,72,19.8,20.5,805.2,7.3,9.1,1420,3469,90.4,7.3,21,6.2,8.3,6.9,Yes,21.6,71.4,392.5,11.8,15.9,19.3,18.9,40.8,42215,65481,14.2,2.8,1.9,89.8,50.3,43.2
39011,Ohio,Auglaize,6498,17.3,4.16,5.2,6.7,21.6,39.2,8.6,27.8,72.3,20.6,4.2,251.9,20.3,5.9,2686,4106,93.1,6.9,7,3.7,15.1,9.6,No,9.7,86.8,343.2,9.4,12.6,16.5,10.3,37.7,69468,45680,19.2,0.6,1.9,95.6,50.2,39.1
39013,Ohio,Belmont,8782,20.5,4.48,5.38,8.4,25.8,36.6,7.4,33.8,39.4,18.1,33.3,279.1,25.2,7.5,2792,6603,91,10.1,18.2,4.2,14.2,7.8,No,8.3,88.9,438.1,10.3,14.2,17.9,13.9,40.3,50626,65932,21.8,4,1.1,92.5,49.1,54.7
39015,Ohio,Brown,10510,21.2,4.68,5.6,7.7,24.4,37,7.6,32.4,38.2,17.1,18.2,262.5,29.6,8.2,4343,5012,87.8,8.2,17.6,5,6.4,9.2,No,12.2,80.3,508,10.9,15,18.7,15.1,39.5,58067,43414,19,0.9,1.2,96.1,50.4,76.6
39017,Ohio,Butler,9053,18.7,4.16,5.05,7.8,21.8,34.4,7.6,27.6,80.8,19.2,30.2,398.8,16.4,7.7,1824,4730,91.6,7.2,11.9,4.4,8.1,10.9,No,13.1,83.4,424.6,10.5,13.3,16.4,11.8,37.4,69049,385648,15.5,9,5.1,79.1,51,9.3
39019,Ohio,Carroll,8066,19.8,4.54,5.5,8.3,24.2,37.1,8.1,30.2,17.1,19.3,42.9,137.5,21.9,8.4,4486,3838,88.9,8.8,16.4,3.7,14.1,8.8,No,8.7,79.5,397.8,10.3,14.3,18.1,13.3,41.8,52065,26897,22.4,0.6,1.4,96.1,49.6,71
39021,Ohio,Champaign,8135,19.2,4.39,5.37,7.3,23.5,38.3,8.3,29.3,50.8,19.1,27.3,298.3,24,6.8,4861,5109,91.2,7.1,13.2,3.3,11.8,9.5,No,8.7,80.9,402,10.4,13.8,17.7,12.3,39,64142,38960,18.9,2.1,1.6,93.2,50.1,70.8
39023,Ohio,Clark,11537,21.8,4.68,5.51,9.2,24.9,40.8,7.2,30.8,80.2,18.6,27.3,602.6,32.1,8.5,2273,5100,88.9,8.1,20.5,4.2,10.4,10.4,No,12.9,81.3,543,11.5,15,18.8,14.5,42.7,54507,133593,20.2,8.7,3.7,83.6,51.4,23.6
39025,Ohio,Clermont,8233,17.7,4.09,5.1,7.3,23.1,36.1,7.6,28.5,66.6,19.6,32.1,287.8,19.4,7,1507,4486,89.8,6.9,10.9,4.2,7.2,10,No,11.7,83.5,392.3,9.6,12.7,16.7,11.5,36.7,72740,207449,17.6,1.7,2.2,92.9,50.7,22.7
39027,Ohio,Clinton,10814,20.7,4.68,5.57,7.6,25.6,39.5,6.6,32.5,40.1,19,20.6,305,28.5,7.1,1554,4683,90.1,8.3,15.2,4.3,9.8,9.2,No,12,83.7,500.8,10.9,15,18.5,15.4,41.1,53891,41921,18,2.1,1.9,93,50.6,54.6
39029,Ohio,Columbiana,9132,20.9,4.68,5.53,7.5,25.4,37.8,7.4,33,63.4,19.5,48.4,239.5,26.9,8.1,2754,5279,89.2,9.4,19.2,4.2,15.6,9.2,Yes,11.8,84.2,456.7,11.1,14.7,18.4,14.5,39,49342,101118,21.6,2.3,2,93.5,49.4,43.9
39031,Ohio,Coshocton,9800,22.3,4.94,5.78,7,27.3,38.5,7.7,33.5,50.9,19.3,50,303.3,27.2,10.6,3050,4361,85.6,8.9,21.7,4.3,11.2,8.8,No,11.7,75.5,459.8,11.2,15.9,19.3,14.8,39.5,47794,36449,20.2,1.1,1.2,95.5,50.4,61.5
